	mtheta     	mh2        	dec1       	error1     	prob1      	dec2       	error2     	prob2      	dec3       	error3     	prob3      	dec4       	error4     	prob4      	dec5       	error5     	prob5      	dec6       	error6     	prob6      	dec7       	error7     	prob7      	dec8       	error8     	prob8      	dec9       	error9     	prob9      	dec10      	error10    	prob10     	dec11      	error11    	prob11     	dec12      	error12    	prob12     	dectotal   
1.000000e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.566182e-3666	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.483723e-83	9.620436e-02	1.000000e+00	4.728266e-1099	0.000000e+00	0.000000e+00	1.364798e-07	8.842893e-01	1.205647e-01	1.392569e-07	4.386820e-01	7.585864e-02	5.637319e-1542	0.000000e+00	0.000000e+00	1.349471e-91	9.322931e-02	1.000000e+00	2.806037e-09	2.118832e-01	5.692995e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.785427e-07
1.037605e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.922327e-3533	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.649109e-80	1.099014e-01	1.000000e+00	3.779852e-1059	0.000000e+00	0.000000e+00	1.602488e-07	1.019830e-01	9.999858e-01	1.570621e-07	3.532674e-01	9.751008e-02	5.099723e-1486	0.000000e+00	0.000000e+00	2.428335e-88	1.055960e-01	1.000000e+00	3.160359e-09	5.147253e-01	6.262757e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.204713e-07
1.076624e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.911174e-3405	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.538289e-77	9.475943e-02	1.000000e+00	1.065128e-1020	0.000000e+00	0.000000e+00	1.894753e-07	1.030875e-01	9.990308e-01	1.769289e-07	1.049951e+00	6.434765e-02	4.398293e-1432	0.000000e+00	0.000000e+00	3.281452e-85	1.096487e-01	1.000000e+00	3.555189e-09	1.028183e+00	5.722369e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.699594e-07
1.117111e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.619663e-3242	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.482802e-74	1.031082e-01	1.000000e+00	1.239057e-983	7.488718e+00	1.000000e+00	2.249626e-07	3.238766e-01	1.585675e-01	1.946282e-07	1.165334e-01	6.555257e-01	4.104259e-1380	0.000000e+00	0.000000e+00	3.411431e-82	1.096071e-01	1.000000e+00	3.904259e-09	1.204166e-01	6.649865e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.234950e-07
1.159120e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.514486e-3124	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.062529e-71	9.321994e-02	1.000000e+00	6.446257e-948	1.028034e-01	1.000000e+00	2.622788e-07	4.288025e-01	9.541514e-02	2.182395e-07	4.722937e-01	1.871832e-01	5.147055e-1330	0.000000e+00	0.000000e+00	2.756219e-79	1.103653e-01	1.000000e+00	4.328230e-09	1.166882e-01	6.806101e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.848466e-07
1.202708e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.811022e-3011	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.678445e-69	1.112735e-01	1.000000e+00	1.714758e-913	9.826268e-02	1.000000e+00	3.042820e-07	8.000287e-01	3.399279e-02	2.409300e-07	3.263384e-01	1.693556e-01	9.724256e-1282	0.000000e+00	2.482565e-309	1.727272e-76	9.448149e-02	1.000000e+00	4.821295e-09	3.233471e-01	2.335402e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.500333e-07
1.247936e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.505828e-2901	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.024273e-66	9.933188e-02	1.000000e+00	2.576666e-880	9.456913e-02	1.000000e+00	3.492348e-07	2.270492e-01	2.678118e-01	2.652633e-07	6.060481e-01	9.603542e-02	3.253119e-1235	0.000000e+00	0.000000e+00	8.705593e-74	1.050600e-01	1.000000e+00	5.300400e-09	6.083720e-01	7.267805e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.197985e-07
1.294865e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.591586e-2796	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.330819e-64	9.794457e-02	1.000000e+00	2.427374e-848	1.012853e-01	1.000000e+00	3.993984e-07	4.481139e-01	2.786575e-02	2.903302e-07	7.275412e-01	4.422143e-02	2.237841e-1190	0.000000e+00	0.000000e+00	3.441921e-71	9.614190e-02	1.000000e+00	5.794680e-09	7.640651e-01	7.061570e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.955233e-07
1.343558e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.289115e-2694	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.344654e-62	1.002100e-01	1.000000e+00	1.582617e-817	9.711809e-02	1.000000e+00	4.492922e-07	1.195622e-01	7.240413e-01	3.167351e-07	8.088727e-01	1.059001e-01	3.730841e-1147	0.000000e+00	0.000000e+00	1.099738e-68	9.500379e-02	1.000000e+00	6.308560e-09	7.861210e-01	6.009184e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.723358e-07
1.394083e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.558236e-2597	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.772593e-60	1.057761e-01	1.000000e+00	7.885239e-788	9.543483e-02	1.000000e+00	5.130183e-07	2.548387e-01	4.537840e-01	3.426430e-07	2.190657e-01	3.265683e-01	1.616479e-1105	0.000000e+00	0.000000e+00	2.853681e-66	9.490620e-02	1.000000e+00	6.816047e-09	2.728450e-01	5.721154e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.624773e-07
1.446507e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.027905e-2502	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.586770e-58	1.020544e-01	1.000000e+00	3.383651e-759	1.792162e+00	1.000000e+00	5.765115e-07	3.345152e-01	2.466005e-01	3.701661e-07	1.849401e-01	5.486076e-01	2.227200e-1065	0.000000e+00	0.000000e+00	6.039217e-64	9.452709e-02	1.000000e+00	7.361250e-09	6.744900e-01	6.056019e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.540389e-07
1.500903e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.648810e-2411	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.221667e-56	9.681099e-02	1.000000e+00	1.258447e-731	9.516659e-02	1.000000e+00	6.447800e-07	2.703960e-01	2.892293e-01	3.983180e-07	1.689502e-01	6.597402e-01	1.088481e-1026	0.000000e+00	0.000000e+00	1.050768e-61	9.429259e-02	1.000000e+00	7.896451e-09	2.909568e-01	1.985588e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.050995e-06
1.557345e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.765363e-2324	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.337229e-54	9.877967e-02	1.000000e+00	4.807999e-705	9.864992e-02	1.000000e+00	7.171499e-07	2.811759e-01	3.382702e-01	4.231459e-07	1.006792e-01	9.602325e-01	2.089606e-989	6.721574e+00	1.000000e+00	1.517239e-59	1.019080e-01	1.000000e+00	8.453931e-09	2.646023e-01	6.855100e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.148750e-06
1.615909e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.845059e-2239	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.386408e-52	9.981433e-02	1.000000e+00	1.996221e-679	9.612909e-02	1.000000e+00	7.863741e-07	1.199636e-01	5.886201e-01	4.519360e-07	1.011595e-01	9.484166e-01	1.723282e-953	9.863574e-02	1.000000e+00	1.822964e-57	1.021647e-01	1.000000e+00	9.013068e-09	2.299864e-01	7.784037e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.247323e-06
1.676675e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.379201e-2158	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.297663e-50	1.667385e+00	1.000000e+00	9.761301e-655	9.542236e-02	1.000000e+00	8.738994e-07	1.626288e-01	6.684083e-01	4.850357e-07	1.708153e-01	1.732496e-01	7.280111e-919	9.527479e-02	1.000000e+00	1.840960e-55	9.786861e-02	1.000000e+00	9.573395e-09	1.906140e-01	1.418626e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.368508e-06
1.739726e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.164700e-2079	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.389099e-48	3.797198e-01	1.000000e+00	6.076766e-631	9.590409e-02	1.000000e+00	9.604521e-07	7.641269e-01	5.106884e-02	5.141053e-07	1.653223e-01	4.074154e-01	1.708651e-885	9.735057e-02	1.000000e+00	1.590366e-53	1.137269e-01	1.000000e+00	1.015263e-08	6.991782e-01	4.034499e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.484710e-06
1.805149e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.403723e-2004	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.155809e-46	3.424745e-01	1.000000e+00	5.186527e-608	9.279449e-02	1.000000e+00	1.048379e-06	1.045558e+00	1.910615e-01	5.432719e-07	1.841875e-01	4.432849e-01	2.470336e-853	9.547234e-02	1.000000e+00	1.135383e-51	9.389197e-02	1.000000e+00	1.070540e-08	6.321773e-01	4.715841e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.602356e-06
