T	mtheta	mH2	mH	alpha	Rate_Total	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.000000e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	4.981351e-48	0.000000e+00	0.000000e+00	1.000000e+00	7.634983e-3652	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.304115e-118	1.716018e-01	6.081582e-01	1.050342e-1128	0.000000e+00	1.607841e-155	1.764107e-48	1.480878e-01	3.732340e-05	3.115948e-48	1.534633e-01	1.395210e-04	5.422083e-1571	0.000000e+00	0.000000e+00	1.829142e-126	1.463102e-01	3.635415e-01	1.012961e-49	1.599088e-01	7.085405e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.018610e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	5.721496e-48	0.000000e+00	0.000000e+00	1.000000e+00	1.625404e-3585	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.067863e-116	1.431448e-01	7.513749e-01	1.470551e-1108	0.000000e+00	0.000000e+00	2.115063e-48	1.486204e-01	5.446773e-05	3.495242e-48	1.371979e-01	2.804616e-03	9.440440e-1543	0.000000e+00	0.000000e+00	8.536669e-125	1.354613e-01	3.547900e-01	1.111913e-49	1.485132e-01	3.970681e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.037567e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	6.568443e-48	0.000000e+00	0.000000e+00	1.000000e+00	2.123491e-3520	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.360199e-115	1.358990e-01	6.968217e-01	8.727238e-1089	0.000000e+00	0.000000e+00	2.529132e-48	1.531724e-01	2.642885e-05	3.917261e-48	1.362095e-01	2.574613e-06	4.989919e-1515	0.000000e+00	0.000000e+00	3.712942e-123	1.250349e-01	6.025922e-01	1.220492e-49	1.481981e-01	3.812534e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.056876e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	7.536748e-48	0.000000e+00	0.000000e+00	1.000000e+00	1.791502e-3456	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.837654e-113	1.468372e-01	7.040431e-01	2.285398e-1069	0.000000e+00	0.000000e+00	3.016464e-48	1.498427e-01	3.926119e-05	4.386360e-48	1.517008e-01	2.979371e-05	8.216504e-1488	0.000000e+00	0.000000e+00	1.507234e-121	1.277346e-01	6.046519e-01	1.339245e-49	1.472864e-01	4.564271e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.076545e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	8.644602e-48	0.000000e+00	0.000000e+00	1.000000e+00	4.843996e-3394	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	4.991628e-112	1.328854e-01	7.777791e-01	2.629756e-1050	0.000000e+00	0.000000e+00	3.588647e-48	1.545465e-01	4.459756e-03	4.908981e-48	1.335723e-01	5.241907e-04	4.295164e-1461	0.000000e+00	0.000000e+00	5.719442e-120	1.390268e-01	5.985153e-01	1.469740e-49	1.476861e-01	5.547807e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.096579e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	9.908998e-48	0.000000e+00	0.000000e+00	1.000000e+00	1.958310e-3332	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.275600e-110	1.375365e-01	7.928609e-01	1.360407e-1031	0.000000e+00	0.000000e+00	4.258917e-48	1.516267e-01	4.410348e-05	5.488791e-48	1.369637e-01	2.640329e-03	7.324126e-1435	0.000000e+00	0.000000e+00	2.027455e-118	1.387828e-01	6.897865e-01	1.612896e-49	1.507816e-01	7.189436e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.116987e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.135289e-47	0.000000e+00	0.000000e+00	1.000000e+00	5.954898e-3272	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.072077e-109	1.354807e-01	7.677815e-01	3.197197e-1013	0.000000e+00	0.000000e+00	5.042791e-48	1.321066e-01	1.159828e-04	6.133119e-48	1.345026e-01	2.172982e-04	4.126512e-1409	0.000000e+00	0.000000e+00	6.741613e-117	1.411474e-01	7.460861e-01	1.769758e-49	1.642503e-01	5.274855e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.137774e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.299929e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.428426e-3212	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.983674e-108	1.344620e-01	8.138379e-01	3.472525e-995	0.000000e+00	3.017720e-15	5.956251e-48	1.497134e-01	3.638408e-05	6.848829e-48	1.337448e-01	3.397724e-03	7.887041e-1384	0.000000e+00	0.000000e+00	2.100096e-115	1.483771e-01	6.093618e-01	1.942143e-49	1.483688e-01	3.737413e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.158948e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.487597e-47	0.000000e+00	0.000000e+00	1.000000e+00	2.805831e-3154	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.498223e-106	1.305876e-01	7.730531e-01	1.726496e-977	9.990638e-02	1.000000e+00	7.019881e-48	1.489547e-01	4.248918e-05	7.642977e-48	1.340873e-01	3.798838e-03	5.182839e-1359	0.000000e+00	0.000000e+00	6.143961e-114	1.283817e-01	7.753005e-01	2.131154e-49	1.556966e-01	3.948970e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.180517e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.701286e-47	0.000000e+00	0.000000e+00	1.000000e+00	4.744894e-3097	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.038389e-105	1.278024e-01	7.560172e-01	4.159603e-960	1.083649e-01	1.000000e+00	8.255199e-48	1.396282e-01	5.486085e-05	8.523792e-48	1.340487e-01	3.121151e-03	1.200886e-1334	0.000000e+00	0.000000e+00	1.689724e-112	1.325612e-01	7.968416e-01	2.338728e-49	1.496089e-01	1.501131e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
