T	mtheta	mH2	mH	alpha	Rate_Total	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.000000e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	5.276694e-35	0.000000e+00	0.000000e+00	1.000000e+00	8.160043e-3639	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.677917e-105	1.716083e-01	6.081584e-01	1.113531e-1115	0.000000e+00	0.000000e+00	1.868701e-35	1.480878e-01	3.732339e-05	3.300691e-35	1.534633e-01	1.395209e-04	5.752835e-1558	0.000000e+00	0.000000e+00	1.937603e-113	1.463102e-01	3.635416e-01	1.073019e-36	1.599088e-01	7.085405e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.018610e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	6.060723e-35	0.000000e+00	0.000000e+00	1.000000e+00	1.737183e-3572	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.190476e-103	1.431445e-01	7.513744e-01	1.559021e-1095	0.000000e+00	0.000000e+00	2.240465e-35	1.486204e-01	5.446772e-05	3.702474e-35	1.371979e-01	2.804616e-03	1.001631e-1529	0.000000e+00	0.000000e+00	9.042858e-112	1.354613e-01	3.547898e-01	1.177838e-36	1.485132e-01	3.970681e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.037567e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	6.957884e-35	0.000000e+00	0.000000e+00	1.000000e+00	2.269525e-3507	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.737326e-102	1.358987e-01	6.968228e-01	9.252266e-1076	0.000000e+00	0.000000e+00	2.679084e-35	1.531724e-01	2.642884e-05	4.149515e-35	1.362095e-01	2.574614e-06	5.294308e-1502	0.000000e+00	0.000000e+00	3.933104e-110	1.250349e-01	6.025924e-01	1.292854e-36	1.481981e-01	3.812534e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.056876e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	7.983600e-35	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.946618e-100	1.468371e-01	7.040435e-01	2.422889e-1056	0.000000e+00	0.000000e+00	3.195310e-35	1.498427e-01	3.926118e-05	4.646426e-35	1.517009e-01	2.979380e-05	8.717718e-1475	0.000000e+00	0.000000e+00	1.596606e-108	1.277344e-01	6.046499e-01	1.418648e-36	1.472864e-01	4.564271e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.076545e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	9.157138e-35	0.000000e+00	0.000000e+00	1.000000e+00	5.179350e-3381	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	5.287606e-99	1.328855e-01	7.777797e-01	2.787965e-1037	0.000000e+00	0.000000e+00	3.801417e-35	1.545465e-01	4.459757e-03	5.200033e-35	1.335723e-01	5.241912e-04	4.557176e-1448	0.000000e+00	0.000000e+00	6.058582e-107	1.390284e-01	5.985157e-01	1.556881e-36	1.476861e-01	5.547807e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.096579e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	1.049650e-34	0.000000e+00	0.000000e+00	1.000000e+00	2.092736e-3319	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.351236e-97	1.375365e-01	7.928610e-01	1.442250e-1018	0.000000e+00	0.000000e+00	4.511427e-35	1.516267e-01	4.410348e-05	5.814220e-35	1.369637e-01	2.640329e-03	7.770904e-1422	0.000000e+00	0.000000e+00	2.147675e-105	1.387819e-01	6.897928e-01	1.708524e-36	1.507816e-01	7.189436e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.116987e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	1.202600e-34	0.000000e+00	0.000000e+00	1.000000e+00	6.364417e-3259	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.254235e-96	1.354808e-01	7.677810e-01	3.389543e-1000	0.000000e+00	9.264382e-27	5.341777e-35	1.321066e-01	1.159828e-04	6.496750e-35	1.345026e-01	2.172984e-04	4.378237e-1396	0.000000e+00	0.000000e+00	7.141363e-104	1.411476e-01	7.460866e-01	1.874686e-36	1.642503e-01	5.274854e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.137774e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	1.377002e-34	0.000000e+00	0.000000e+00	1.000000e+00	1.526658e-3199	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	7.397770e-95	1.344620e-01	8.138378e-01	3.606676e-982	1.028737e-01	1.000000e+00	6.309395e-35	1.497134e-01	3.638408e-05	7.254894e-35	1.337448e-01	3.397724e-03	8.368159e-1371	0.000000e+00	0.000000e+00	2.224623e-102	1.483774e-01	6.093615e-01	2.057292e-36	1.483688e-01	3.737412e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.158948e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	1.575797e-34	0.000000e+00	0.000000e+00	1.000000e+00	2.998791e-3141	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.587060e-93	1.305876e-01	7.730530e-01	1.830363e-964	9.990605e-02	1.000000e+00	7.436088e-35	1.489547e-01	4.248918e-05	8.096127e-35	1.340873e-01	3.798838e-03	5.498664e-1346	0.000000e+00	0.000000e+00	6.508272e-101	1.283818e-01	7.753004e-01	2.257510e-36	1.556966e-01	3.948970e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.180517e-03	1.000000e-20	1.254361e+02	1.250899e+02	-2.510152e-02	1.802155e-34	0.000000e+00	0.000000e+00	1.000000e+00	5.071201e-3084	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.218550e-92	1.278025e-01	7.560172e-01	4.409849e-947	1.083685e-01	1.000000e+00	8.744648e-35	1.396282e-01	5.486084e-05	9.029165e-35	1.340487e-01	3.121151e-03	1.274141e-1321	0.000000e+00	0.000000e+00	1.789918e-99	1.325613e-01	7.968422e-01	2.477391e-36	1.496089e-01	1.501131e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
