	T          	mtheta     	mh2        	dec1       	error1     	prob1      	dec2       	error2     	prob2      	dec3       	error3     	prob3      	dec4       	error4     	prob4      	dec5       	error5     	prob5      	dec6       	error6     	prob6      	dec7       	error7     	prob7      	dec8       	error8     	prob8      	dec9       	error9     	prob9      	dec10      	error10    	prob10     	dec11      	error11    	prob11     	dec12      	error12    	prob12     	dectotal   
1.000000e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-2.224689e-3591	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.957900e-43	-9.324472e-02	1.000000e+00	-3.771941e-1018	-1.347980e+92	0.000000e+00	-2.408127e-45	-2.073450e-01	1.000000e+00	-5.270426e-46	-2.526821e-01	1.000000e+00	-5.035295e-1462	-inf	0.000000e+00	-2.483697e-43	-1.065790e-01	1.000000e+00	-9.561465e-48	-8.629612e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.471044e-43
1.037605e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.735039e-3460	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.568092e-40	-9.927988e-02	1.000000e+00	-1.549057e-980	-1.255049e+52	0.000000e+00	-5.373277e-43	-1.985160e-01	1.000000e+00	-1.203729e-43	-3.481329e-01	1.000000e+00	-2.244183e-1408	-inf	0.000000e+00	-5.532580e-41	-9.553825e-02	1.000000e+00	-2.095979e-45	-2.964186e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.127948e-40
1.076624e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.193528e-3293	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.899264e-38	-9.331376e-02	1.000000e+00	-2.738988e-944	-3.304973e+13	0.000000e+00	-1.007026e-40	-2.087795e-01	1.000000e+00	-2.226778e-41	-3.521212e-01	1.000000e+00	-1.170989e-1356	-inf	0.000000e+00	-1.022973e-38	-9.380580e-02	1.000000e+00	-3.876217e-43	-4.386792e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.934573e-38
1.117111e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.289621e-3173	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.433409e-36	-9.278058e-02	1.000000e+00	-2.289492e-909	-1.087949e-01	1.000000e+00	-1.539013e-38	-2.082006e-01	1.000000e+00	-3.398385e-39	-2.544318e-01	1.000000e+00	-8.107878e-1307	-inf	0.000000e+00	-1.564664e-36	-9.377619e-02	1.000000e+00	-5.911012e-41	-3.043783e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.016920e-36
1.159120e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-6.233125e-3058	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.646150e-34	-9.281168e-02	1.000000e+00	-1.061283e-875	-1.099270e-01	1.000000e+00	-1.959413e-36	-2.096273e-01	1.000000e+00	-4.229796e-37	-2.503730e-01	1.000000e+00	-8.962269e-1259	-inf	0.000000e+00	-1.992609e-34	-9.431984e-02	1.000000e+00	-7.531142e-39	-2.718283e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.662658e-34
1.202708e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-2.270119e-2946	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.026217e-32	-9.263233e-02	1.000000e+00	-2.961810e-843	-1.174931e-01	1.000000e+00	-2.090192e-34	-2.051386e-01	1.000000e+00	-4.573765e-35	-2.519428e-01	1.000000e+00	-1.782837e-1212	-1.558579e+275	2.227132e-290	-2.127061e-32	-9.424631e-02	1.000000e+00	-8.113835e-37	-4.575890e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.178835e-32
1.247936e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-6.326730e-2839	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.495507e-30	-1.072765e-01	1.000000e+00	-5.507463e-812	-1.114770e-01	1.000000e+00	-1.881506e-32	-1.907439e-01	1.000000e+00	-4.109976e-33	-2.703925e-01	1.000000e+00	-7.358742e-1168	-3.609428e+228	0.000000e+00	-1.939689e-30	-1.092772e-01	1.000000e+00	-7.170444e-35	-3.961844e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.458193e-30
1.294865e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-2.197578e-2735	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.201450e-28	-1.077495e-01	1.000000e+00	-7.534806e-782	-1.107917e-01	1.000000e+00	-1.436740e-30	-2.002849e-01	1.000000e+00	-3.138282e-31	-2.352213e-01	1.000000e+00	-7.409690e-1125	-4.036631e+183	0.000000e+00	-1.483110e-28	-1.083636e-01	1.000000e+00	-5.481542e-33	-3.349836e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.702121e-28
1.343558e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-1.352228e-2635	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.742601e-26	-1.080841e-01	1.000000e+00	-8.332398e-753	-1.128103e-01	1.000000e+00	-9.371306e-29	-2.070523e-01	1.000000e+00	-2.053020e-29	-2.604312e-01	1.000000e+00	-2.041211e-1083	-1.932299e+140	0.000000e+00	-9.556943e-27	-9.371284e-02	1.000000e+00	-3.723441e-31	-3.942154e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.709757e-26
1.394083e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	-2.003544e-2539	-inf	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.520405e-24	-9.524478e-02	1.000000e+00	-8.053553e-725	-9.699731e-02	1.000000e+00	-5.316988e-27	-2.213262e-01	1.000000e+00	-1.133502e-27	-2.396147e-01	1.000000e+00	-1.759774e-1043	-3.441235e+98	0.000000e+00	-5.369636e-25	-9.527420e-02	1.000000e+00	-2.011058e-29	-2.558250e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.063839e-24
