T	mtheta	mh2	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.000000e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.536493e-3678	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.609795e-99	1.097423e-01	1.000000e+00	1.322626e-1111	0.000000e+00	0.000000e+00	1.748735e-24	7.735042e-01	1.780548e-01	1.782370e-24	3.200403e-01	1.458968e-01	5.130971e-1554	0.000000e+00	0.000000e+00	7.812490e-108	9.565784e-02	1.000000e+00	3.591947e-26	2.749387e-01	3.201314e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.037605e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.152324e-3544	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.175139e-96	1.126858e-01	1.000000e+00	1.057793e-1071	0.000000e+00	0.000000e+00	2.054571e-24	1.016719e-01	9.999866e-01	2.010500e-24	3.903079e-01	6.916090e-02	4.641189e-1498	0.000000e+00	0.000000e+00	1.405844e-104	1.087063e-01	1.000000e+00	4.057604e-26	8.423350e-01	6.469050e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.076624e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.618876e-3416	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.195252e-93	1.101554e-01	1.000000e+00	2.979155e-1033	0.000000e+00	3.585526e-62	2.429455e-24	1.030733e-01	9.991110e-01	2.265158e-24	1.050990e+00	5.862445e-02	4.002406e-1444	0.000000e+00	0.000000e+00	1.910085e-101	1.109685e-01	1.000000e+00	4.532637e-26	5.824627e-01	3.360786e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.117111e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.547610e-3255	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.187498e-90	1.036033e-01	1.000000e+00	3.463682e-996	0.000000e+00	2.194549e-21	2.884968e-24	3.182899e-01	1.743012e-01	2.491804e-24	1.160479e-01	6.712812e-01	3.735440e-1392	0.000000e+00	0.000000e+00	1.978818e-98	1.093833e-01	1.000000e+00	4.997798e-26	1.200476e-01	6.336917e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.159120e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.585418e-3137	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.086782e-88	9.419543e-02	1.000000e+00	1.803195e-960	1.038579e-01	1.000000e+00	3.363696e-24	4.255952e-01	9.944296e-02	2.793615e-24	2.403408e-01	7.275976e-01	4.686005e-1342	0.000000e+00	0.000000e+00	1.598781e-95	1.074788e-01	1.000000e+00	5.600192e-26	3.434597e-01	3.799692e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202708e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.567279e-3024	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.756762e-85	9.364976e-02	1.000000e+00	4.797319e-926	9.617584e-02	1.000000e+00	3.903873e-24	8.099594e-01	3.133497e-02	3.085279e-24	3.237504e-01	2.034536e-01	8.853226e-1294	0.000000e+00	0.000000e+00	1.002146e-92	9.393101e-02	1.000000e+00	6.173264e-26	3.342031e-01	2.097682e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.247936e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.678068e-2914	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.912759e-83	9.711775e-02	1.000000e+00	7.208905e-893	9.994252e-02	1.000000e+00	4.495487e-24	9.602984e-01	1.230876e-01	3.393330e-24	2.707269e-01	3.067401e-01	2.961510e-1247	0.000000e+00	0.000000e+00	5.061076e-90	1.054188e-01	1.000000e+00	6.786316e-26	5.953508e-01	7.228754e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.294865e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.049344e-2809	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.117182e-80	9.537405e-02	1.000000e+00	6.792926e-861	1.010313e-01	1.000000e+00	5.123528e-24	3.534527e-01	6.600135e-02	3.714071e-24	2.178485e-01	4.818695e-01	2.037653e-1202	0.000000e+00	0.000000e+00	2.000694e-87	9.820905e-02	1.000000e+00	7.417733e-26	7.086021e-01	4.030105e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.343558e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.503743e-2707	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.082919e-78	1.044058e-01	1.000000e+00	4.429354e-830	9.435704e-02	1.000000e+00	5.764997e-24	1.184079e-01	7.011271e-01	4.058346e-24	8.342105e-01	8.601537e-02	3.397129e-1159	0.000000e+00	0.000000e+00	6.396320e-85	9.845164e-02	1.000000e+00	8.081856e-26	8.020066e-01	5.836951e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.394083e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.138390e-2609	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.252365e-76	1.115100e-01	1.000000e+00	2.207176e-800	9.632556e-02	1.000000e+00	6.582883e-24	2.924118e-01	3.475571e-01	4.390128e-24	5.132212e-01	6.047680e-02	1.472710e-1117	0.000000e+00	0.000000e+00	1.661808e-82	9.749014e-02	1.000000e+00	8.730741e-26	1.935099e-01	8.453039e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.446507e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.410232e-2515	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.214135e-74	3.732943e-01	1.000000e+00	9.213309e-772	9.658317e-02	1.000000e+00	7.398915e-24	3.359694e-01	2.355882e-01	4.742616e-24	1.820008e-01	5.956853e-01	2.029027e-1077	0.000000e+00	1.199041e-104	3.519221e-80	9.904813e-02	1.000000e+00	9.430440e-26	6.716343e-01	6.013619e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500903e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.997415e-2424	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.435755e-72	9.868649e-02	1.000000e+00	3.523353e-744	9.561317e-02	1.000000e+00	8.276227e-24	2.661862e-01	3.013668e-01	5.060371e-24	1.182479e-01	4.617344e-01	9.936761e-1039	0.000000e+00	6.899123e-66	6.125539e-78	9.716633e-02	1.000000e+00	1.011965e-25	1.705480e-01	6.535544e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.557345e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.396687e-2337	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.015212e-70	9.481792e-02	1.000000e+00	1.346409e-717	9.936992e-02	1.000000e+00	9.121639e-24	1.163613e-01	5.405167e-01	5.422737e-24	1.007300e-01	9.571609e-01	1.903359e-1001	0.000000e+00	1.680274e-28	8.864677e-76	1.001881e-01	1.000000e+00	1.083279e-25	2.707472e-01	5.920094e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.615909e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.321091e-2252	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.080059e-68	9.447838e-02	1.000000e+00	5.591022e-692	9.600547e-02	1.000000e+00	1.009978e-23	1.135741e-01	4.811807e-01	5.843187e-24	4.687417e-01	6.057729e-02	1.570000e-965	9.655968e-02	1.000000e+00	1.066259e-73	9.813334e-02	1.000000e+00	1.155066e-25	2.508250e-01	6.025056e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.676675e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.637261e-2171	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.054742e-66	3.746704e-01	1.000000e+00	2.734295e-667	9.624496e-02	1.000000e+00	1.122335e-23	1.742617e-01	6.081332e-01	6.217259e-24	2.703849e-01	5.220807e-02	6.633259e-931	9.504187e-02	1.000000e+00	1.077068e-71	9.837168e-02	1.000000e+00	1.227084e-25	2.052725e-01	1.227770e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
