T	mtheta	mH2	mH	alpha	Rate_Total	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.000000e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	2.908330e-40	0.000000e+00	0.000000e+00	1.000000e+00	4.457694e-3644	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.680617e-110	1.716018e-01	6.081582e-01	6.132360e-1121	0.000000e+00	0.000000e+00	1.029963e-40	1.480878e-01	3.732340e-05	1.819226e-40	1.534633e-01	1.395210e-04	3.165656e-1563	0.000000e+00	0.000000e+00	1.067933e-118	1.463102e-01	3.635415e-01	5.914108e-42	1.599088e-01	7.085405e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.018610e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	3.340459e-40	0.000000e+00	0.000000e+00	1.000000e+00	9.489938e-3578	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.207308e-108	1.431448e-01	7.513749e-01	8.585729e-1101	0.000000e+00	0.000000e+00	1.234866e-40	1.486204e-01	5.446773e-05	2.040675e-40	1.371979e-01	2.804616e-03	5.511753e-1535	0.000000e+00	0.000000e+00	4.984079e-117	1.354613e-01	3.547900e-01	6.491831e-42	1.485132e-01	3.970681e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.037567e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	3.834943e-40	0.000000e+00	0.000000e+00	1.000000e+00	1.239803e-3512	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.713361e-107	1.358990e-01	6.968217e-01	5.095348e-1081	0.000000e+00	7.890532e-108	1.476617e-40	1.531724e-01	2.642885e-05	2.287068e-40	1.362095e-01	2.574613e-06	2.913339e-1507	0.000000e+00	0.000000e+00	2.167777e-115	1.250349e-01	6.025922e-01	7.125762e-42	1.481981e-01	3.812534e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.056876e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	4.400282e-40	0.000000e+00	0.000000e+00	1.000000e+00	1.045971e-3448	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.072903e-105	1.468372e-01	7.040431e-01	1.334317e-1061	0.000000e+00	0.000000e+00	1.761143e-40	1.498427e-01	3.926119e-05	2.560948e-40	1.517008e-01	2.979371e-05	4.797164e-1480	0.000000e+00	0.000000e+00	8.799887e-114	1.277346e-01	6.046519e-01	7.819094e-42	1.472864e-01	4.564271e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.076545e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	5.047095e-40	0.000000e+00	0.000000e+00	1.000000e+00	2.828394e-3386	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.914330e-104	1.328854e-01	7.777791e-01	1.535368e-1042	0.000000e+00	0.000000e+00	2.095209e-40	1.545465e-01	4.459756e-03	2.866077e-40	1.335723e-01	5.241907e-04	2.507710e-1453	0.000000e+00	0.000000e+00	3.339260e-112	1.390268e-01	5.985153e-01	8.580984e-42	1.476861e-01	5.547807e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.096579e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	5.785305e-40	0.000000e+00	0.000000e+00	1.000000e+00	1.143173e-3324	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	7.447506e-103	1.375365e-01	7.928609e-01	7.942659e-1024	0.000000e+00	0.000000e+00	2.486541e-40	1.516267e-01	4.410348e-05	3.204595e-40	1.369637e-01	2.640329e-03	4.276154e-1427	0.000000e+00	0.000000e+00	1.183717e-110	1.387828e-01	6.897865e-01	9.416787e-42	1.507816e-01	7.189436e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.116987e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	6.628310e-40	0.000000e+00	0.000000e+00	1.000000e+00	3.476774e-3264	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.793612e-101	1.354807e-01	7.677815e-01	1.866665e-1005	0.000000e+00	0.000000e+00	2.944201e-40	1.321066e-01	1.159828e-04	3.580782e-40	1.345026e-01	2.172982e-04	2.409243e-1401	0.000000e+00	0.000000e+00	3.936048e-109	1.411474e-01	7.460861e-01	1.033262e-41	1.642503e-01	5.274855e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.137774e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	7.589554e-40	0.000000e+00	0.000000e+00	1.000000e+00	8.339882e-3205	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	4.077373e-100	1.344620e-01	8.138379e-01	2.027414e-987	1.366557e+00	1.000000e+00	3.477519e-40	1.497134e-01	3.638408e-05	3.998645e-40	1.337448e-01	3.397724e-03	4.604809e-1376	0.000000e+00	0.000000e+00	1.226127e-107	1.483771e-01	6.093618e-01	1.133908e-41	1.483688e-01	3.737413e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.158948e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	8.685241e-40	0.000000e+00	0.000000e+00	1.000000e+00	1.638188e-3146	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	8.747279e-99	1.305876e-01	7.730531e-01	1.008005e-969	9.990638e-02	1.000000e+00	4.098512e-40	1.489547e-01	4.248918e-05	4.462303e-40	1.340873e-01	3.798838e-03	3.025974e-1351	0.000000e+00	0.000000e+00	3.587112e-106	1.283817e-01	7.753005e-01	1.244261e-41	1.556966e-01	3.948970e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.180517e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	9.932851e-40	0.000000e+00	0.000000e+00	1.000000e+00	2.770312e-3089	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.773944e-97	1.278024e-01	7.560172e-01	2.428560e-952	1.083649e-01	1.000000e+00	4.819745e-40	1.396282e-01	5.486085e-05	4.976561e-40	1.340487e-01	3.121151e-03	7.011311e-1327	0.000000e+00	0.000000e+00	9.865346e-105	1.325612e-01	7.968416e-01	1.365451e-41	1.496089e-01	1.501131e-06	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.202486e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	1.135215e-39	0.000000e+00	0.000000e+00	1.000000e+00	4.193806e-3033	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.403675e-96	1.280580e-01	6.600925e-01	2.813821e-935	1.128231e-01	1.000000e+00	5.655632e-40	1.366038e-01	1.222615e-03	5.546701e-40	1.341136e-01	2.888479e-03	5.849122e-1303	0.000000e+00	0.000000e+00	2.551285e-103	1.340523e-01	7.950899e-01	1.498163e-41	1.490685e-01	3.936611e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.224865e-03	1.000000e-20	1.739483e+02	1.250000e+02	-4.202828e-04	1.296555e-39	0.000000e+00	0.000000e+00	1.000000e+00	5.990920e-2978	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	6.186914e-95	1.314659e-01	6.012925e-01	1.591002e-918	1.075934e-01	1.000000e+00	6.622592e-40	1.348500e-01	4.537130e-05	6.178583e-40	1.339120e-01	4.563990e-03	1.770396e-1279	0.000000e+00	0.000000e+00	6.218323e-102	1.330467e-01	7.753685e-01	1.643726e-41	1.669000e-01	3.858512e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
